0	
1	
2	
3	
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	1
14	1
15	2
16	9
17	23
18	32
19	33
20	37
21	27
22	32
23	47
24	40
25	50
26	61
27	68
28	73
29	89
30	73
31	108
32	123
33	116
34	114
35	139
36	163
37	133
38	157
39	154
40	144
41	148
42	153
43	135
44	160
45	152
46	159
47	167
48	171
49	186
50	189
51	200
52	191
53	176
54	198
55	218
56	293
57	281
58	362
59	439
60	495
61	536
62	621
63	594
64	550
65	537
66	508
67	511
68	510
69	428
70	453
71	463
72	503
73	539
74	543
75	557
76	504
77	477
78	508
79	438
80	390
81	383
82	396
83	408
84	391
85	362
86	367
87	397
88	404
89	379
90	414
91	373
92	383
93	379
94	401
95	400
96	360
97	340
98	349
99	293
100	318
101	291
102	283
103	274
104	283
105	263
106	278
107	311
108	292
109	293
110	309
111	309
112	346
113	303
114	300
115	346
116	313
117	328
118	286
119	336
120	331
121	346
122	334
123	364
124	362
125	376
126	313
127	336
128	311
129	345
130	341
131	350
132	342
133	343
134	356
135	287
136	292
137	285
138	261
139	218
140	244
141	219
142	231
143	213
144	212
145	199
146	186
147	182
148	213
149	184
150	194
151	164
152	136
153	127
154	102
155	104
156	93
157	101
158	70
159	42
160	38
161	26
162	14
163	6
164	15
165	4
166	8
167	9
168	4
169	2
170	3
171	5
172	3
173	10
174	4
175	2
176	7
177	3
178	5
179	7
180	5
181	4
182	4
183	4
184	
185	1
186	3
187	2
188	3
189	4
190	5
191	1
192	2
193	1
194	2
195	2
196	2
197	1
198	2
199	
200	
201	
202	2
203	3
204	2
205	1
206	
207	2
208	2
209	2
210	
211	4
212	2
213	3
214	3
215	
216	3
217	1
218	3
219	4
220	1
221	2
222	2
223	
224	1
225	1
226	1
227	7
228	2
229	3
230	1
231	2
232	
233	1
234	5
235	2
236	2
237	1
238	1
239	
240	6
241	1
242	2
243	2
244	5
245	4
246	2
247	4
248	1
249	12
250	6
251	7
252	11
253	
254	
255	
